#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
72;J0107+1322;01:07:39.9;+13:22:31.7;1.197383;6.87e-16;*;*;*;
73;J0108-1431;01:08:08.3;-14:31:50.1;0.807565;7.70e-17;*;*;*;
74;J0108+6608;01:08:22.5;+66:08:34.4;1.283660;1.31e-14;*;*;*;
75;J0108+6905;01:08:29.5;+69:05:52.6;1.071118;4.81e-17;*;*;*;
76;J0110-22;01:10;-22;1.262000;*;*;*;*;
77;J0111+6624;01:11:21.8;+66:24:10.8;4.301872;8.36e-15;*;*;*;
78;J0111-7131;01:11:28.7;-71:31:46.8;0.688542;7.09e-15;*;*;*;
79;J0113-7220;01:13:11.0;-72:20:32.2;0.325883;4.86e-15;*;*;*;
80;J0115+6325;01:15:45.8;+63:25:50.8;0.521455;1.60e-15;*;*;*;
81;J0117+5914;01:17:38.6;+59:14:38.3;0.101439;5.85e-15;*;*;*;
82;J0121+53;01:21;+53:29;2.724785;*;*;RRAT[gac+21];*;
83;J0122+1416;01:22:01.3;+14:16:17;1.388994;3.80e-15;*;*;*;
84;J0125-2327;01:25:10;-23:27:26;0.003676;*;*;*;*;
85;J0125+62;01:26;+62:35;1.708233;*;*;*;*;
86;J0131-7310;01:31:28.5;-73:10:09.3;0.348124;1.76e-15;*;*;*;
87;J0133-6957;01:33:32.4;-69:57:29.6;0.463474;1.20e-16;*;*;*;
88;J0134-2937;01:34:18.6;-29:37:17.0;0.136962;7.84e-17;*;*;*;
89;J0137+1654;01:37:23.8;+16:54:42.1;0.414763;1.22e-17;*;*;*;
90;J0137+6349;01:37:13.3;+63:49:34.3;0.717963;9.60e-16;*;*;*;
91;J0139+3336;01:39:57.2;+33:36:59.7;1.247961;2.06e-15;*;RRAT[ttm18];*;
92;J0139+5621;01:39:38.5;+56:21:36.8;1.775344;7.91e-14;*;*;*;
93;J0139+5814;01:39:19.7;+58:14:31.8;0.272451;1.07e-14;*;*;*;
94;J0141+6009;01:41:39.9;+60:09:32.3;1.222949;3.91e-16;*;*;*;
95;J0141+63;01:41;+63:08;0.046686;*;*;*;*;
96;J0146+31;01:46:15;+31:04;0.938100;*;*;*;*;
97;J0146+6145;01:46:22.4;+61:45:02.8;8.688994;1.99e-12;*;AXP,NRAD;3;
98;J0147+5922;01:47:44.6;+59:22:03.2;0.196321;2.57e-16;*;*;1;
99;J0151-0635;01:51:22.7;-06:35:02.9;1.464665;4.43e-16;*;*;*;
100;J0152+0948;01:52:23.7;+09:48:10;2.746647;1.70e-15;*;*;*;
101;J0152-1637;01:52:10.8;-16:37:53.6;0.832742;1.30e-15;*;*;*;
102;J0154+1833;01:54:36.8;+18:33:50.7;0.002365;2.92e-21;*;*;*;
103;J0156+04;01:56:01;+04:02;*;*;*;RRAT[dsm+16];*;
104;J0156+3949;01:56:55.2;+39:49:29;1.811561;1.52e-16;*;*;*;
105;J0157+6212;01:57:49.9;+62:12:26.6;2.351745;1.89e-13;*;*;3;
106;J0158+21;01:58:29;+21:08;0.505300;*;*;*;*;
107;J0201+7005;02:01:41.3;+70:05:18.1;1.349184;5.51e-15;*;RRAT[kkl+15];*;
108;J0203-0150;02:03:33.9;-01:50:01.5;0.005173;1.43e-20;ELL1;*;*;
109;J0205+6449;02:05:37.9;+64:49:41.3;0.065716;1.94e-13;*;HE;9;
110;J0206-4028;02:06:01.2;-40:28:03.6;0.630551;1.20e-15;*;*;*;
111;J0209+5759;02:09:37.3;+57:59:45.3;1.063906;1.39e-14;*;*;*;
112;J0210+5845;02:10:55.4;+58:45:04;1.766208;1.34e-13;*;*;*;
113;J0211-8159;02:11:59.0;-81:59:36.2;1.077333;2.90e-16;*;*;*;
114;J0212+5222;02:12:52.1;+52:22:49.5;0.376386;6.60e-15;*;*;*;
115;J0214+5222;02:14:55.2;+52:22:40.9;0.024575;2.99e-19;BT;*;*;
116;J0215+6218;02:15:56.6;+62:18:33.3;0.548880;6.62e-16;*;*;1;
117;J0218+4232;02:18:06.3;+42:32:17.3;0.002323;7.74e-20;ELL1;HE[khvb98,aaa+09f];*;
118;J0220+3626;02:20:42.1;+36:26:55.7;1.029700;*;*;*;*;
119;J0229+20;02:29:03;+20:58;0.806900;*;*;*;*;
120;J0231+7026;02:31:13.9;+70:26:33.8;1.466820;3.11e-15;*;*;*;
121;J0241+16;02:41:46;+16:04;1.545400;*;*;*;*;
122;J0242+62;02:42:35;+62:56:50;0.592000;*;*;*;*;
123;J0243+6027;02:43;+60:27;1.473000;*;*;*;*;
124;J0244+14;02:44:51;+14:27;2.128100;*;*;*;*;
125;J0248+4230;02:48:31.0;+42:30:20.4;0.002601;1.69e-20;*;HE[brj+21];*;
126;J0248+6021;02:48:18.6;+60:21:34.7;0.217094;5.51e-14;*;HE[tpc+11];*;
127;J0250+5854;02:50:17.7;+58:54:01.3;23.535378;2.72e-14;*;*;*;
128;J0251+2606;02:51:02.5;+26:06:09.9;0.002542;7.57e-21;ELL1;HE[cck+16];*;
129;J0255-5304;02:55:56.2;-53:04:21.2;0.447708;3.13e-17;*;*;*;
130;J0301+35;03:01;+35;0.146800;*;*;*;*;
131;J0302+2252;03:02:31.9;+22:52:12.1;1.207165;8.25e-17;*;*;*;
132;J0304+1932;03:04:33.1;+19:32:51.4;1.387584;1.30e-15;*;*;*;
133;J0305+11;03:05:06;+11:23;0.862100;*;*;*;*;
134;J0307+7443;03:07:55;+74:43:12;0.003160;*;*;HE[hrm+11,aab+22];*;
135;J0312-0921;03:12:06.2;-9:21:56;0.003704;1.97e-20;BT;HE[trr+21,aab+22];*;
136;J0317+13;03:17:54;+13:29;1.974300;*;*;*;*;
137;J0318+0253;03:18:15.5;+02:53:01.4;0.005190;1.76e-20;*;HE[wlz+18];*;
138;J0323+3944;03:23:26.6;+39:44:52.4;3.032072;6.36e-16;*;*;*;
139;J0324+5239;03:24:55.4;+52:39:31.3;0.336620;3.81e-16;*;*;*;
140;J0325+6744;03:25:05.1;+67:44:59.3;1.364679;1.55e-15;*;*;*;
141;J0329+1654;03:29:08.5;+16:54:02;0.893320;2.15e-16;*;*;*;
142;J0332+5434;03:32:59.4;+54:34:43.3;0.714520;2.05e-15;*;*;*;
143;J0335+4555;03:35:16.6;+45:55:53.4;0.269201;7.35e-18;*;*;*;
144;J0335+6623;03:35:57.0;+66:23:23.6;1.761934;4.81e-15;*;*;*;
145;J0337+1715;03:37:43.8;+17:15:14.8;0.002733;1.77e-20;ELL1;*;*;
146;J0337+79;03:37:22;+79:01:44;2.056210;*;*;RRAT[kkl+15];*;
147;J0340+4130;03:40:23.2;+41:30:45.2;0.003299;7.05e-21;*;HE;*;
148;J0341+5711;03:41;+57:11;1.888000;*;*;*;*;
149;J0343+06;03:43;+06;1.007640;*;*;*;*;
150;J0343-3000;03:43:27.9;-30:00:27.5;2.597027;5.70e-17;*;*;*;
151;J0343+5312;03:43:12.9;+53:12:53.4;1.934478;1.34e-14;*;*;*;
152;J0344-0901;03:44:37.4;-09:01:02.6;1.226006;3.47e-15;*;*;*;
153;J0348+0432;03:48:43.6;+04:32:11.4;0.039123;2.41e-19;ELL1;*;*;
154;J0349+2340;03:49:57.3;+23:40:53;2.420771;1.10e-15;*;*;*;
155;J0355+28;03:55;+28;0.094300;*;*;*;*;
156;J0357-05;03:57:56;-05:09:44;*;*;*;RRAT[mss+20];*;
157;J0357+3205;03:57:52.5;+32:05:25;0.444104;1.30e-14;*;NRAD;*;
158;J0357+5236;03:57:44.8;+52:36:57.4;0.197030;4.77e-16;*;*;*;
159;J0358+4155;03:58:03.1;+41:55:19.0;0.226484;1.46e-16;*;*;*;
160;J0358+5413;03:58:53.7;+54:13:13.7;0.156384;4.39e-15;*;HE[to07];6;
161;J0358+6627;03:58:37.9;+66:27:46.5;0.091506;1.09e-17;*;*;*;
162;J0359+5414;03:59:26.0;+54:14:55.7;0.079427;1.67e-14;*;NRAD;*;
163;J0401-7608;04:01:51.7;-76:08:12.9;0.545254;1.54e-15;*;*;*;
164;J0402+4825;04:02:40.6;+48:25:57.5;0.512194;2.75e-16;*;*;*;
165;J0405+3347;04:05;+33;0.016500;*;*;*;*;
166;J0406+30;04:06;+30;0.002600;*;*;*;*;
167;J0406+6138;04:06:30.0;+61:38:41.4;0.594576;5.57e-15;*;*;1;
168;J0407+1607;04:07:54.9;+16:07:16.4;0.025702;7.90e-20;BT;*;*;
169;J0408+551;04:08;+55;1.837000;*;*;*;*;
170;J0408+552;04:08;+55;0.754000;*;*;*;*;
171;J0410-31;04:10:39;-31:07:29;1.878500;*;*;RRAT;*;
172;J0413+58;04:13;+58;0.687000;*;*;*;*;
173;J0414+31;04:14;+31;1.081000;*;*;*;*;
174;J0415+6954;04:15:55.6;+69:54:09.8;0.390715;7.66e-17;*;*;1;
175;J0417+35;04:17:43;+35:45;0.654400;*;*;*;1;
176;J0417+61;04:17;+61:08;0.440283;*;*;*;*;
177;J0418-4154;04:18:03.7;-41:54:14.4;0.757119;1.32e-15;*;*;*;
178;J0418+5732;04:18:33.8;+57:32:22.9;9.078388;4.10e-15;*;AXP,NRAD;*;
179;J0418+6635;04:18:48.0;+66:35:25;0.002910;*;*;HE[trr+21,aab+22];*;
180;J0419+44;04:19;+44;1.241000;*;*;*;*;
181;J0420-5022;04:20:01.9;-50:22:48.1;3.453004;2.76e-14;*;XINS,NRAD;*;
182;J0421-0345;04:21:33.5;-03:45:06.6;2.161308;1.16e-15;*;*;*;
183;J0421+3255;04:21:33.2;+32:55:50;0.900105;6.00e-17;*;*;*;
184;J0426+4933;04:26:06.8;+49:33:38.4;0.922475;3.93e-14;*;*;*;
185;J0435+2749;04:35:51.8;+27:49:01.7;0.326279;8.17e-18;*;*;*;
186;J0437-4715;04:37:15.8;-47:15:09.1;0.005757;5.73e-20;T2;HE[bt93,aaa+09f];*;
187;J0447-04;04:47;-04:35;2.188190;*;*;RRAT;*;
188;J0448-2749;04:48:41.5;-27:49:46.7;0.450448;1.48e-16;*;*;*;
189;J0449-7031;04:49:05.6;-70:31:31.7;0.479164;3.37e-15;*;*;*;
190;J0450-1248;04:50:08.7;-12:48:07.1;0.438014;1.03e-16;*;*;*;
191;J0451-67;04:51:50;-67:18;0.245454;0.00e+00;*;*;*;
192;J0452-1759;04:52:34.1;-17:59:23.3;0.548939;5.75e-15;*;*;*;
193;J0453+1559;04:53:45.4;+15:59:21.3;0.045782;1.86e-19;DDH;*;*;
194;J0454+4529;04:54:59.3;+45:29:46.7;1.389137;4.89e-15;*;*;*;
195;J0454+5543;04:54:07.7;+55:43:41.4;0.340729;2.37e-15;*;*;*;
196;J0455-6951;04:55:47.5;-69:51:34.3;0.320423;1.02e-14;*;*;*;
197;J0456-69;04:56:30;-69:10;0.117073;*;*;*;*;
198;J0456-7031;04:56:02.5;-70:31:06.6;0.800132;3.67e-14;*;*;*;
199;J0457+23;04:57:06;+23:34:00;0.504900;*;*;*;*;
200;J0457-6337;04:57:07.7;-63:37:30.4;2.497012;2.10e-16;*;*;*;
201;J0457-69;04:57:02;-69:46;0.231390;*;*;*;*;
202;J0458-0505;04:58:37.1;-05:05:05.1;1.883480;5.30e-16;*;*;*;
203;J0458-67;04:58:59;-67:43;1.133900;*;*;*;*;
204;J0459-0210;04:59:51.9;-02:10:06.6;1.133076;1.40e-15;*;*;*;
205;J0501+4516;05:01:06.7;+45:16:33.9;5.762097;5.82e-12;*;AXP,NRAD;*;
206;J0502+4654;05:02:04.5;+46:54:06.0;0.638565;5.58e-15;*;*;1;
207;J0502-6617;05:02:50.5;-66:17:58.8;0.691251;2.31e-14;*;*;*;
208;J0506+50;05:06:14.1;+50:30:30;0.003390;*;*;HE[qpl+19,aab+22];*;
209;J0509+0856;05:09:22.2;+08:56:25.0;0.004056;4.41e-21;ELL1;*;*;
210;J0509+3801;05:09:31.7;+38:01:18.0;0.076541;7.93e-18;DDGR;*;*;
211;J0511-6508;05:11:56.5;-65:08:36.5;0.322062;2.06e-16;*;*;*;
212;J0514-4002A;05:14:06.6;-40:02:48.8;0.004991;6.97e-22;DDH;*;*;
213;J0514-4002B;05:14:06.7;-40:02:47.9;0.002816;*;*;*;*;
214;J0514-4002C;05:14:06.6;-40:02:49.4;0.005565;*;*;*;*;
215;J0514-4002D;05:14:06.7;-40:02:48.2;0.004554;*;BT;*;*;
216;J0514-4002E;05:14:06.6;-40:02:47.7;0.005596;*;BT;*;*;
217;J0514-4002F;05:14:06.7;-40:02:48.5;0.004329;*;BT;*;*;
218;J0514-4002G;05:14:06.6;-40:02:48.1;0.003803;*;BT;*;*;
219;J0514-4002H;05:14:06.6;-40:02:48;0.005506;*;BT;*;*;
220;J0514-4002I;05:14:06.7;-40:02:48.2;0.032654;*;BT;*;*;
221;J0514-4002J;05:14:06.7;-40:02:48;0.006633;*;*;*;*;
222;J0514-4002K;05:14:06.8;-40:02:48;0.004692;*;*;*;*;
223;J0514-4002L;05:14:06.8;-40:02:48.0;0.002959;*;BT;*;*;
224;J0514-4002M;05:14:06.8;-40:02:48;0.004798;*;*;*;*;
225;J0514-4002N;05:14:06.7;-40:02:47;0.005568;*;*;*;*;
226;J0514-4408;05:14:52.1;-44:08:37.3;0.320271;2.04e-15;*;HE[brs+19];*;
227;J0517+2212;05:17:17.1;+22:12:51.9;0.222367;1.16e-17;*;*;*;
228;J0518+5125;05:18:26.1;+51:25:58.7;0.912512;1.91e-16;*;*;*;
229;J0518+5416;05:18:53.1;+54:16:50.0;0.340203;1.68e-15;*;*;*;
230;J0519+44;05:19;+44;0.515000;*;*;*;*;
231;J0519-6932;05:19:46.9;-69:32:23.4;0.263212;6.97e-16;*;*;*;
232;J0520-2553;05:20:36.1;-25:53:12.2;0.241642;3.01e-17;*;*;*;
233;J0521-68;05:21:44;-68:35;0.433421;*;*;*;*;
234;J0522-6847;05:22:23.0;-68:47:02.2;0.674532;1.77e-14;*;*;*;
235;J0523-7125;05:23:48.6;-71:25:52.5;0.322500;*;*;*;*;
236;J0525+1115;05:25:56.4;+11:15:19.0;0.354438;7.36e-17;*;*;1;
237;J0525-6607;05:26:00.9;-66:04:36.3;8.047000;6.50e-11;*;AXP,NRAD;*;
238;J0528+2200;05:28:52.2;+22:00:04;3.745539;4.01e-14;*;*;3;
239;J0529-0715;05:29:08.9;-07:15:26.4;0.689224;5.75e-16;*;*;*;
240;J0529-6652;05:29:50.9;-66:52:39.9;0.975737;1.55e-14;*;*;*;
241;J0530-39;05:30;-39;0.907000;*;*;*;*;
242;J0532-6639;05:32:59.5;-66:39:37.3;0.642743;5.35e-15;*;*;*;
243;J0532-69;05:32:04;-69:46;1.149196;*;*;*;*;
244;J0533+0402;05:33:25.8;+04:01:59.7;0.963018;1.60e-16;*;*;*;
245;J0533-4524;05:33:13.8;-45:24:50.2;0.157285;2.80e-16;*;*;*;
246;J0533+6759;05:33:55.1;+67:59:17.4;0.004388;1.26e-20;*;HE;*;
247;J0534-13;05:34;-13;0.979000;*;*;*;*;
248;J0534+2200;05:34:31.9;+22:00:52.0;0.033392;4.21e-13;*;HE[cdt69,fhm+69,hjm+70];28;
249;J0534+34;05:34:30;+34:07;*;*;*;RRAT[ttm18];*;
250;J0534-6703;05:34:36.1;-67:03:48.8;1.817565;4.25e-13;*;*;*;
251;J0535-66;05:35:40;-66:52;0.210524;*;*;*;*;
252;J0535-6935;05:35;-69:35;0.200511;1.15e-14;*;*;*;
253;J0536-7543;05:36:30.8;-75:43:54.8;1.245856;5.78e-16;*;*;*;
254;J0537-69;05:37:43;-69:21;0.112613;*;*;*;*;
255;J0537-6910;05:37:47.4;-69:10:19.8;0.016122;5.18e-14;*;NRAD;23;
256;J0538+2817;05:38:25.0;+28:17:09.1;0.143158;3.67e-15;*;HE[mkz+03];*;
257;J0540+3207;05:40:37.1;+32:07:37.3;0.524271;4.48e-16;*;*;*;
258;J0540-6919;05:40:11.2;-69:19:54.1;0.050570;4.79e-13;*;HE[mp85];2;
259;J0540-7125;05:40:30.8;-71:25:31.4;1.286015;8.20e-16;*;*;*;
260;J0542-68;05:42:35;-68:16;0.425189;*;*;*;*;
