#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
748;J1305-66;13:05:36;-66:39;0.197276;*;*;*;*;
749;J1306-4035;13:06:56.3;-40:35:23.3;0.002205;*;BT;*;*;
750;J1306-6242;13:06:44.6;-62:42:03;0.981902;5.86e-15;*;*;*;
751;J1306-6617;13:06:38.1;-66:17:21.2;0.473028;5.98e-15;*;*;*;
752;J1307-6318;13:07:54.7;-63:18:35;4.962427;2.11e-14;*;*;*;
753;J1307-67;13:07:41;-67:03:27;3.651200;*;*;RRAT;*;
754;J1308+2127;13:08:48.2;+21:27:06.7;10.312522;1.12e-13;*;XINS,NRAD;*;
755;J1308-23;13:08;-23;0.002830;*;*;*;*;
756;J1308-4650;13:08:44.5;-46:50:29.7;1.058833;5.26e-16;*;*;*;
757;J1308-5844;13:08:21.0;-58:44:13.8;0.464700;8.64e-15;*;*;*;
758;J1309-6415;13:09:16.6;-64:15:59;0.619454;8.79e-15;*;*;*;
759;J1309-6526;13:09:00.2;-65:26:16.6;0.398292;1.84e-17;*;*;*;
760;J1311-1228;13:11:52.6;-12:28:01.6;0.447518;1.51e-16;*;*;*;
761;J1311-3430;13:11:45.7;-34:30:30.3;0.002560;2.10e-20;ELL1;HE;*;
762;J1312+0051;13:12:46.6;+00:51:00.1;0.004228;1.75e-20;DD;HE;*;
763;J1312+1810A;13:12:55.2;+18:10:05;0.033163;*;BT;*;*;
764;J1312+1810B;13:12:55.2;+18:10:05;0.006240;*;*;BINARY[pqm+21];*;
765;J1312+1810C;13:12:55.2;+18:10:05;0.012530;*;*;*;*;
766;J1312+1810D;13:12:55.2;+18:10:05;0.006070;*;*;BINARY[pqm+21];*;
767;J1312-5402;13:12:04.7;-54:02:42.5;0.728154;1.47e-16;*;*;*;
768;J1312-5516;13:12:53.5;-55:16:47.3;0.849243;5.70e-15;*;*;*;
769;J1312-6400;13:12:07.1;-64:00:55.6;2.437432;6.83e-16;*;*;*;
770;J1313+0931;13:13:23.0;+09:31:56;0.848933;8.00e-16;*;*;*;
771;J1314-6101;13:14:23.4;-61:01:16;2.948390;1.17e-14;*;*;*;
772;J1316-6232;13:16:46.3;-62:32:12.2;0.342825;5.30e-15;*;*;*;
773;J1317-0157;13:17;-01:57;0.002910;*;*;*;*;
774;J1317-5759;13:17:46.2;-57:59:30.5;2.642199;1.26e-14;*;RRAT;*;
775;J1317-6302;13:17:44.6;-63:02:52.2;0.261271;1.02e-16;*;*;*;
776;J1319-6056;13:19:20.2;-60:56:46.7;0.284353;1.53e-15;*;*;*;
777;J1319-6105;13:19:26.3;-61:05:26.2;0.421118;1.50e-15;*;*;*;
778;J1320-3512;13:20:12.6;-35:12:26.0;0.458488;1.90e-18;*;*;*;
779;J1320-5359;13:20:53.9;-53:59:05.0;0.279738;9.25e-15;*;*;2;
780;J1320+67;13:20;+67:30;1.028620;*;*;*;*;
781;J1321-5922;13:21:39.5;-59:22:52.1;1.279058;2.37e-15;*;*;*;
782;J1321+8323;13:21:45.6;+83:23:39.4;0.670037;5.66e-16;*;*;*;
783;J1322-62;13:22:54;-62:51;1.044851;*;*;*;*;
784;J1322-6241;13:22:32.1;-62:41:53.5;0.506058;2.59e-15;*;*;*;
785;J1322-6329;13:22:18.0;-63:29:37;2.764209;1.11e-14;*;*;*;
786;J1324-6146;13:24:43.9;-61:46:00;0.844109;5.58e-15;*;*;*;
787;J1324-6302;13:24:13.6;-63:02:21.1;2.483804;9.79e-16;*;*;*;
788;J1325-6253;13:25:04.8;-62:53:39.5;0.028969;*;DD;*;*;
789;J1326+33;13:26:42;+33:46;0.041500;*;*;*;*;
790;J1326-4728A;13:26:39.6;-47:30:11.6;0.004109;2.70e-20;*;*;*;
791;J1326-4728B;13:26:49.5;-47:29:24.6;0.004792;2.76e-20;ELL1;*;*;
792;J1326-4728C;13:26:44;-47:30;0.006868;*;*;*;*;
793;J1326-4728D;13:26:44;-47:30;0.004579;*;*;*;*;
794;J1326-4728E;13:26:44;-47:30;0.004208;*;*;*;*;
795;J1326-5859;13:26:58.2;-58:59:29.2;0.477994;3.24e-15;*;*;*;
796;J1326-6408;13:26:32.4;-64:08:43.8;0.792674;3.09e-15;*;*;*;
797;J1326-6700;13:26:02.7;-67:00:49.2;0.543015;5.33e-15;*;*;*;
798;J1327-0755;13:27:57.5;-07:55:29.8;0.002678;1.77e-21;ELL1;HE[sbc+19];*;
799;J1327-6222;13:27:17.1;-62:22:45.4;0.529929;1.88e-14;*;*;*;
800;J1327-6301;13:27:07.4;-63:01:15.5;0.196480;1.53e-15;*;*;*;
801;J1327-6400;13:27:10.2;-64:00:13.1;0.280678;3.12e-14;*;*;*;
802;J1328-4357;13:28:06.4;-43:57:44.1;0.532699;3.01e-15;*;*;1;
803;J1328-4921;13:28:33.5;-49:21:33.4;1.478721;6.10e-16;*;*;*;
804;J1329+13;13:29:00;+13:44;*;*;*;RRAT(?)[ttm+18];*;
805;J1329-6158;13:29:03.3;-61:58:59;1.565218;3.39e-14;*;*;*;
806;J1331-5245;13:31:00.0;-52:45:25.4;0.648117;5.10e-16;*;*;*;
807;J1332-03;13:32;-03:26;1.106400;*;*;RRAT;*;
808;J1332-3032;13:32:52.4;-30:32:17.3;0.650434;5.60e-16;*;*;*;
809;J1333-4449;13:33:44.8;-44:49:26.2;0.345603;5.40e-19;*;*;*;
810;J1334+10;13:34:30;+10:05;0.911100;*;*;*;*;
811;J1334-5839;13:34:30.1;-58:39:16.5;0.107718;2.16e-17;*;*;*;
812;J1335-3642;13:35:36;-36:42;0.399192;*;*;*;*;
813;J1335-5656;13:35:05.4;-56:56:01;0.003238;1.21e-20;*;NRAD[nie+20];*;
814;J1336-2522;13:36:20.8;-25:22:01.6;0.478145;3.31e-16;*;*;*;
815;J1336+33;13:36:00;+33:46;3.013000;*;*;RRAT(?)[ttm18];*;
816;J1337-4441;13:37:27.7;-44:41:42.3;1.257511;3.03e-16;*;*;*;
817;J1337-6306;13:37:20.3;-63:06:23.3;0.207953;3.56e-16;*;*;*;
818;J1337-6423;13:37:31.8;-64:23:04.9;0.009423;2.47e-20;ELL1;*;*;
819;J1338-6204;13:38:09.2;-62:04:18.7;1.239001;1.38e-14;*;*;*;
820;J1339-4712;13:39:56.5;-47:12:05.5;0.137055;5.30e-19;*;*;*;
821;J1339-6618;13:39:56.6;-66:18:07.8;0.558179;3.50e-16;*;*;*;
822;J1340-6456;13:40:00.3;-64:56:42.9;0.378622;5.05e-15;*;*;*;
823;J1341-6023;13:41:07.3;-60:23:34.7;0.627285;1.95e-14;*;*;*;
824;J1341-6220;13:41:42.6;-62:20:20.7;0.193340;2.53e-13;*;*;35;
825;J1342+2822A;13:42:00.6;+28:22:31.4;0.002545;*;BT;*;*;
826;J1342+2822B;13:42:11.0;+28:22:40.1;0.002389;1.86e-20;ELL1;*;*;
827;J1342+2822C;13:42:11.6;+28:22:38;0.002166;*;*;*;*;
828;J1342+2822D;13:42:10.2;+28:22:36;0.005443;*;DD;*;*;
829;J1342+2822E;13:42:11.6;+28:22:38;0.005470;*;*;BINARY[pqm+21];*;
830;J1342+2822F;13:42:11.6;+28:22:38;0.004400;*;*;BINARY[pqm+21];*;
831;J1343+6634;13:43:59.2;+66:34:25.0;1.394104;1.09e-15;*;*;*;
832;J1344-5855;13:44:53.0;-58:55:24.7;0.252398;2.91e-15;*;*;*;
833;J1344-6059;13:44:39.6;-60:59:31;0.540102;4.30e-17;*;*;*;
834;J1345-6115;13:45:44.4;-61:15:30.6;1.253085;3.25e-15;*;*;*;
835;J1346-4918;13:46:22.3;-49:18:07.2;0.299625;3.50e-17;*;*;*;
836;J1347-5947;13:47:19.3;-59:47:39.8;0.609962;1.42e-14;*;*;*;
837;J1348-6307;13:48:42.4;-63:07:04;0.927772;3.79e-15;*;*;*;
838;J1349-6130;13:49:36.6;-61:30:17.1;0.259365;5.12e-15;*;*;*;
839;J1349-63;13:49:18;-63:56;0.373034;*;*;*;*;
840;J1350-5115;13:50:16.1;-51:15:24.5;0.295700;7.58e-16;*;*;*;
841;J1350-6225;13:50:44.4;-62:25:43.8;0.138158;8.88e-15;*;NRAD;*;
842;J1352-6803;13:52:34.4;-68:03:37.1;0.628903;1.23e-15;*;*;*;
843;J1354+2454;13:54:04;+24:54:06;6.270000;*;*;RRAT[mss+20];*;
844;J1354-6249;13:54:35;-62:49:30;2.951938;1.48e-14;*;*;*;
845;J1355-5153;13:55:58.6;-51:53:53.9;0.644305;2.81e-15;*;*;*;
846;J1355-5747;13:55:36.9;-57:47:15;2.038674;7.15e-16;*;*;*;
847;J1355-5925;13:55:59.1;-59:25:00.9;1.213381;5.99e-15;*;*;*;
848;J1355-6206;13:55:21.3;-62:06:20.1;0.276603;3.10e-18;*;*;*;
849;J1356-5521;13:56:50.5;-55:21:12.9;0.507380;7.24e-16;*;*;*;
850;J1357-62;13:57:25;-62:28;0.455761;*;*;*;*;
851;J1357-6429;13:57:02.4;-64:29:30.2;0.166108;3.60e-13;*;HE[lzg+11];5;
852;J1358-2533;13:58:42;-25:33;0.912971;*;*;*;*;
853;J1358-6025;13:58:25.9;-60:25:56;0.060533;3.02e-15;*;NRAD[nie+20];*;
854;J1359-6038;13:59:58.2;-60:38:07.5;0.127508;6.33e-15;*;*;*;
855;J1400-1431;14:00:37.0;-14:31:47.0;0.003084;7.23e-21;ELL1;*;*;
856;J1400+21;14:00:18;+21:27;*;*;*;RRAT[ttm18];*;
857;J1400-6325;14:00:45.6;-63:25:42.6;0.031182;3.89e-14;*;HE;*;
858;J1401-6357;14:01:52.4;-63:57:42.0;0.842805;1.68e-14;*;*;*;
859;J1402+13;14:03:00;+13:09:12;0.005890;4.83e-17;*;NRAD[aab+22];*;
860;J1402-5021;14:02:56.0;-50:21:43;1.380182;5.41e-15;*;*;*;
861;J1403-0314;14:03:41;-03:15:28;0.362634;*;*;*;*;
862;J1403-6310;14:03:14.0;-63:10:27;0.399170;9.00e-17;*;*;*;
863;J1403-7646;14:03:04.1;-76:46:57.5;1.306198;1.20e-15;*;*;*;
864;J1404+1159;14:04:36.9;+11:59:16.0;2.650439;1.38e-15;*;*;*;
865;J1405-4656;14:05:21.4;-46:56:02.3;0.007602;2.79e-20;ELL1;*;*;
866;J1405-5641;14:05:12.4;-56:41:24.2;0.617575;1.20e-15;*;*;*;
867;J1406-4233;14:06:04.7;-42:33:20.6;2.436795;6.81e-16;*;*;*;
868;J1406-5806;14:06:01.2;-58:06:32;0.288349;6.11e-16;*;*;*;
869;J1406-6121;14:06:50.0;-61:21:27.9;0.213075;5.47e-14;*;*;1;
870;J1407-6048;14:07:58.6;-60:48:58.8;0.492344;3.16e-15;*;*;*;
871;J1407-6153;14:07:56.5;-61:53:59;0.701615;8.85e-15;*;*;*;
872;J1409-6953;14:09:16.9;-69:53:34.4;0.528591;8.40e-16;*;*;*;
873;J1410-6132;14:10:23.5;-61:32:08.1;0.050052;3.20e-14;*;HE[ojk+08,aab+22];1;
874;J1410-7404;14:10:07.3;-74:04:53.3;0.278729;6.74e-18;*;*;*;
875;J1411+2551;14:11:18.8;+25:51:08.3;0.062453;9.56e-20;DD;*;*;
876;J1412-6111;14:12:59.6;-61:11:30.5;0.529156;1.91e-15;*;*;*;
877;J1412-6145;14:12:07.6;-61:45:28.4;0.315258;9.90e-14;*;*;1;
878;J1412+7922;14:12:55.8;+79:22:03.8;0.058199;3.29e-15;*;NRAD;*;
879;J1413-6141;14:13:09.8;-61:41:13;0.285625;3.33e-13;*;*;14;
880;J1413-6205;14:13:29.9;-62:05:38;0.109741;2.77e-14;*;NRAD;1;
881;J1413-6222;14:13:05.4;-62:22:27.8;0.292408;2.23e-15;*;*;*;
882;J1413-6307;14:13:31.3;-63:07:35.4;0.394946;7.43e-15;*;*;*;
883;J1414-6802;14:14:25.7;-68:02:58;4.630188;6.39e-15;*;*;*;
884;J1415-6621;14:15:31.2;-66:21:12.2;0.392479;5.80e-16;*;*;*;
885;J1416-5033;14:16:44.6;-50:33:17;0.794883;1.20e-16;*;*;*;
886;J1416-6037;14:16:30.5;-60:37:59.5;0.295580;4.28e-15;*;*;*;
887;J1417-4402;14:17:30.6;-44:02:57.4;0.002664;*;ELL1;HE;*;
888;J1418-3921;14:18:50.2;-39:21:18.5;1.096806;8.89e-16;*;*;*;
889;J1418-5945;14:18:32.3;-59:45:00;1.672596;2.71e-16;*;*;*;
890;J1418-6058;14:18:42.7;-60:57:49;0.110573;1.69e-13;*;NRAD;*;
891;J1420-5416;14:20:29.1;-54:16:22.7;0.935772;2.32e-16;*;*;*;
892;J1420-5625;14:20:03.0;-56:25:55.0;0.034117;6.75e-20;BT;*;*;
893;J1420-6048;14:20:08.2;-60:48:16.4;0.068180;8.32e-14;*;HE[rrj01,waa+10];7;
894;J1421-4409;14:21:20.9;-44:09:04.5;0.006386;1.24e-20;ELL1;*;*;
895;J1422-6138;14:22:28.2;-61:38:28.3;0.340968;9.68e-14;*;NRAD;2;
896;J1423-6953;14:23:26.7;-69:53:42.8;0.333411;1.45e-15;*;*;*;
897;J1424-5556;14:24:12.7;-55:56:13.9;0.770375;7.80e-16;*;*;*;
898;J1424-56;14:24:23;-56:40:47;1.427000;*;*;RRAT;*;
899;J1424-5822;14:24:32.1;-58:22:55.7;0.366736;3.94e-15;*;*;*;
900;J1424-6438;14:24:59.2;-64:38:10.0;1.023504;2.40e-16;*;*;*;
901;J1425-5723;14:25:36.5;-57:23:30.8;0.353263;2.20e-17;*;*;*;
902;J1425-5759;14:25:59.1;-57:59:10.2;0.707868;7.42e-16;*;*;*;
903;J1425-6210;14:25:07.7;-62:10:04.9;0.501730;4.78e-16;*;*;*;
904;J1426+52;14:27:00;+52:10;0.995800;*;*;*;*;
905;J1427-4158;14:27:50.7;-41:58:56.3;0.586486;6.21e-16;*;*;*;
906;J1428-5530;14:28:26.2;-55:30:50.0;0.570292;2.09e-15;*;*;*;
907;J1429-5911;14:29:58.6;-59:11:36.6;0.115843;3.05e-14;*;NRAD;*;
908;J1429-5935;14:29:25.9;-59:35:58.9;0.763915;4.28e-14;*;*;*;
909;J1430+22;14:30:01;+22:24:23;*;*;*;RRAT[mss+20];*;
910;J1430-5712;14:30:16.1;-57:12:31.4;0.491519;4.69e-14;*;*;*;
911;J1430-6623;14:30:40.7;-66:23:05.5;0.785443;2.78e-15;*;*;*;
912;J1431-4715;14:31:44.6;-47:15:27.5;0.002012;1.41e-20;ELL1;HE[btb+15,aab+22];*;
913;J1431-5740;14:31:03.4;-57:40:11.6;0.004111;6.42e-21;BT;*;*;
914;J1431-6328;14:13:21.2;-63:28:08.6;0.002772;*;*;*;*;
915;J1432-5032;14:32:52.2;-50:32:17.3;2.034989;5.92e-15;*;*;*;
916;J1433+00;14:33:30;+00:28;*;*;*;RRAT[dsm+16];*;
917;J1433-6038;14:33:13.1;-60:38:34.7;1.954430;5.63e-15;*;*;*;
918;J1434-5943;14:34:58.3;-59:43:41.6;1.072121;2.96e-17;*;*;*;
919;J1434-6006;14:34:05.3;-60:06:29.0;0.306368;3.02e-15;*;*;*;
920;J1434-6029;14:34:39.1;-60:29:49;0.963348;1.03e-15;*;*;*;
921;J1434+7257;14:33:59.7;+72:57:26.5;0.041741;5.50e-19;*;*;*;
922;J1435-5954;14:35:00.2;-59:54:49.5;0.472996;1.55e-15;*;*;*;
923;J1435-6100;14:35:20.2;-61:00:57.9;0.009348;2.45e-20;ELL1;*;*;
924;J1437-5959;14:37:01.9;-59:59:01.4;0.061696;8.59e-15;*;*;*;
925;J1437-6146;14:37:15.3;-61:46:02.0;0.467616;6.33e-15;*;*;*;
926;J1439-5501;14:39:39.7;-55:01:23.6;0.028635;1.42e-19;ELL1;HE[fsk+04,aab+22];*;
927;J1439+7655;14:39:22;+76:55:46;0.947903;*;*;RRAT[kkl+15];*;
928;J1440-6344;14:40:31.2;-63:44:48.4;0.459607;1.12e-15;*;*;*;
929;J1441-6137;14:41:44.3;-61:37:24;1.175840;3.60e-16;*;*;*;
930;J1443-5122;14:43:26.9;-51:22:26;0.732061;3.38e-16;*;*;*;
931;J1444-5941;14:44:46.5;-59:41:19;2.760228;8.23e-15;*;*;*;
932;J1444-6026;14:44:06.0;-60:26:09.4;4.758576;1.85e-14;*;RRAT;*;
933;J1446-4701;14:46:35.7;-47:01:26.7;0.002195;9.81e-21;T2;HE;*;
934;J1447-5757;14:47:28.2;-57:57:26;0.158730;1.17e-14;*;NRAD[nie+20];*;
935;J1449-5846;14:49:25.4;-58:46:40.4;0.463330;8.60e-17;*;*;*;
936;J1452-5851;14:52:52.6;-58:51:13.2;0.386643;5.07e-14;*;*;*;
937;J1452-6036;14:52:51.8;-60:36:31.4;0.154992;1.45e-15;*;*;3;
938;J1453+1902;14:53:45.7;+19:02:12.1;0.005792;1.17e-20;*;*;*;
939;J1453-6413;14:53:32.6;-64:13:16.0;0.179487;2.74e-15;*;*;1;
940;J1454-5846;14:54:10.9;-58:46:34.7;0.045249;8.17e-19;BT;*;*;
941;J1455-3330;14:55:47.9;-33:30:46.3;0.007987;2.43e-20;DD;HE[lnl+95,aab+22];*;
942;J1455-59;14:55:06;-59:23;0.176191;*;*;*;*;
943;J1456-48;14:56;-48:00;0.536810;*;*;*;*;
944;J1456-6843;14:55:59.9;-68:43:39.5;0.263377;9.89e-17;*;*;*;
945;J1457-5122;14:57:40.0;-51:22:54.9;1.748308;5.30e-15;*;*;*;
946;J1457-5900;14:57:39.0;-59:00:51;1.498637;3.66e-15;*;*;*;
947;J1457-5902;14:57:31.9;-59:02:04;0.390739;1.23e-14;*;*;*;
948;J1459-6053;14:59:29.9;-60:53:20.7;0.103151;2.53e-14;*;NRAD;*;
949;J1501-0046;15:01:44.9;-00:46:23.5;0.464037;2.39e-16;*;*;*;
950;J1501-5637;15:01:51.0;-56:37:48;0.782949;1.70e-16;*;*;*;
951;J1502+28;15:02:09;+28:13;3.784000;*;*;RRAT(?)[ttm18];*;
952;J1502+4653;15:02:19.8;+46:53:27.4;1.752508;1.72e-16;*;*;*;
953;J1502-5653;15:02:57.3;-56:53:39.2;0.535504;1.83e-15;*;*;*;
954;J1502-5828;15:02:43.8;-58:28:42;0.668105;3.64e-14;*;*;*;
955;J1502-6128;15:02:29.8;-61:28:50.3;0.842104;1.35e-15;*;*;*;
956;J1502-6752;15:02:18.6;-67:52:16.7;0.026744;3.15e-19;ELL1;*;*;
957;J1503+2111;15:03:54.6;+21:11:09.3;3.314002;1.40e-16;*;*;*;
958;J1504-5621;15:04:49.1;-56:21:32;0.412985;5.53e-15;*;*;*;
959;J1504-5659;15:04:31.9;-56:59:19.4;1.672372;1.43e-15;*;*;*;
960;J1505-25;15:05;-25;0.999000;*;*;*;*;
961;J1506-5158;15:06:39.5;-51:58:10;0.840739;6.37e-15;*;*;*;
962;J1507-4352;15:07:34.1;-43:52:04.0;0.286758;1.58e-15;*;*;*;
963;J1507-5800;15:07:03.5;-58:00:56.2;0.897254;2.60e-16;*;*;*;
964;J1507-6640;15:07:48.6;-66:40:57.8;0.355656;1.15e-15;*;*;*;
965;J1509+5531;15:09:25.6;+55:31:32.3;0.739682;5.00e-15;*;*;1;
966;J1509-5850;15:09:27.1;-58:50:56.0;0.088925;9.17e-15;*;HE[waa+10];*;
967;J1509-6015;15:09:07.5;-60:15:18.6;0.339038;2.12e-15;*;*;*;
968;J1510-4422;15:10:48.9;-44:22:07;0.943871;6.10e-16;*;*;*;
969;J1511-5414;15:11:51.2;-54:14:40.3;0.200384;4.85e-16;*;*;*;
970;J1511-5835;15:11:07.0;-58:35:28;0.301511;3.44e-16;*;*;*;
971;J1512-5431;15:12:05.7;-54:31:19;2.040532;1.92e-15;*;*;*;
972;J1512-5759;15:12:43.0;-57:59:59.8;0.128699;6.85e-15;*;*;*;
973;J1513-2550;15:13:23.3;-25:50:31.2;0.002119;2.16e-20;ELL1;HE;*;
974;J1513-5739;15:13:58.9;-57:39:01.4;0.973458;2.75e-14;*;*;*;
975;J1513-5908;15:13:55.8;-59:08:09.6;0.151582;1.53e-12;*;HE[umw+93,ppp+09];*;
976;J1513-5946;15:13:44.7;-59:46:31.9;1.046117;8.53e-15;*;RRAT;*;
977;J1513-6013;15:13:54.0;-60:13:26.5;1.958737;1.37e-15;*;*;*;
978;J1514-4834;15:14:14.5;-48:34:19.9;0.454840;9.26e-16;*;*;*;
979;J1514-4946;15:14:19.1;-49:46:15.5;0.003589;1.86e-20;ELL1;HE;*;
980;J1514-5316;15:14:40.1;-53:16:02.3;0.296279;1.60e-18;*;*;*;
981;J1514-5925;15:14:59.1;-59:25:43.5;0.148797;2.88e-15;*;*;*;
982;J1515-5720;15:15:09.2;-57:20:50.1;0.286648;6.09e-15;*;*;*;
983;J1516-43;15:16:32.3;-43:20:00;0.036022;*;ELL1;*;*;
984;J1517-313;15:17:51;-31:20;0.140668;*;*;*;*;
985;J1517-314;15:17:51;-31:20;1.103726;*;*;*;*;
986;J1517-32;15:17:01;-32:26:05;0.064402;*;*;*;*;
987;J1517-4356;15:17:27.3;-43:56:17.9;0.650837;2.16e-16;*;*;*;
988;J1517-4636;15:17:29.3;-46:36:00.6;0.886612;2.10e-15;*;*;*;
989;J1518+0204A;15:18:33.3;+02:05:27.5;0.005554;4.12e-20;*;*;*;
990;J1518+0204B;15:18:31.4;+02:05:15.4;0.007947;-3.33e-21;BT;*;*;
991;J1518+0204C;15:18:32.7;+02:04:47.8;0.002484;2.61e-20;ELL1;*;*;
992;J1518+0204D;15:18:33.2;+02:04:52;0.002988;*;BT;*;*;
993;J1518+0204E;15:18:34;+02:04:58;0.003182;*;BT;*;*;
994;J1518+0204F;15:18:33.2;+02:04:52;0.002650;*;*;BINARY[pqm+21];*;
995;J1518-0627;15:18:59.1;-06:27:07.7;0.794997;4.18e-16;*;*;*;
996;J1518-3952;15:18:56.9;-39:52:30.3;0.499196;2.37e-16;*;*;*;
997;J1518+4904;15:18:16.7;+49:04:34.2;0.040935;2.72e-20;DD;*;*;
998;J1518-5415;15:18:13.5;-54:15:45.0;0.214925;4.06e-17;*;*;*;
999;J1519-5734;15:19:47.5;-57:34:13.6;0.518758;4.27e-15;*;*;*;
1000;J1519-6106;15:19:35.8;-61:06:54.6;2.154307;8.37e-15;*;*;*;
1001;J1519-6308;15:19:09.5;-63:08:19.5;1.254052;5.96e-15;*;*;*;
1002;J1522-5525;15:22:06.7;-55:25:17.5;1.389605;3.30e-15;*;*;*;
1003;J1522-5735;15:22:05.3;-57:35:00;0.102136;3.12e-14;*;NRAD;1;
1004;J1522-5829;15:22:42.2;-58:29:02.8;0.395354;2.06e-15;*;*;*;
1005;J1523-3235;15:23:37.7;-32:35:42.1;1.504835;9.53e-16;*;*;*;
1006;J1524-20;15:24:44;-20:59:21;*;*;*;RRAT[mss+20];*;
1007;J1524-5625;15:24:49.8;-56:25:23.4;0.078219;3.90e-14;*;*;1;
1008;J1524-5706;15:24:21.4;-57:06:34.6;1.116174;3.56e-13;*;*;*;
1009;J1524-5819;15:24:24.6;-58:19:14.1;0.961043;1.26e-13;*;*;*;
1010;J1525-5417;15:25:28.3;-54:17:20;1.011694;1.62e-14;*;*;*;
1011;J1525-5523;15:25:36.0;-55:23:27.2;0.355156;8.96e-18;*;*;*;
1012;J1525-5545;15:25:28.1;-55:45:49.8;0.011360;1.31e-19;ELL1;*;*;
1013;J1525-5605;15:25:41.4;-56:05:13;0.280349;1.16e-16;*;*;*;
1014;J1526-2744;15:26:34;-27:43:34;0.002490;*;*;NRAD[aab+22];*;
1015;J1526-5633;15:26:41.2;-56:33:43;0.301888;1.23e-16;*;*;*;
1016;J1527-3931;15:27:58.8;-39:31:34.2;2.417605;1.91e-14;*;*;*;
1017;J1527-5552;15:27:40.7;-55:52:08.3;1.048719;1.13e-14;*;*;*;
1018;J1528-3146;15:28:34.9;-31:46:06.8;0.060822;2.49e-19;DD;*;*;
1019;J1528-4109;15:28:08.0;-41:09:28.8;0.526556;3.96e-16;*;*;*;
1020;J1528-5547;15:28:39.1;-55:47:23;3.467302;7.75e-15;*;*;*;
1021;J1528-5838;15:28:24.3;-58:38:01;0.355687;2.48e-14;*;NRAD;*;
1022;J1529-26;15:29;-26;0.799000;*;*;*;*;
1023;J1529-3828;15:29:15.1;-38:28:45.8;0.008486;2.70e-20;DD;*;*;
1024;J1529+40;15:29:12;+40:49;0.476400;*;*;*;*;
1025;J1529-5355;15:29:57.6;-53:55:36;0.891265;8.10e-16;*;*;*;
1026;J1529-5611;15:29:35.8;-56:11:29;0.822249;4.10e-15;*;*;*;
1027;J1530-21;15:30;-21;0.505000;*;*;*;*;
1028;J1530-5327;15:30:26.8;-53:27:56.0;0.278958;4.68e-15;*;*;*;
1029;J1530-6343;15:30:47.6;-63:43:13.6;0.910320;8.25e-16;*;*;*;
1030;J1531-4012;15:31:08.0;-40:12:30.9;0.356849;9.63e-17;*;*;*;
1031;J1531-5610;15:31:27.9;-56:10:55.3;0.084206;1.38e-14;*;HE[kbm+03,aab+22];1;
1032;J1532+2745;15:32:10.3;+27:45:49.6;1.124836;7.80e-16;*;*;1;
1033;J1532-5308;15:32:35.5;-53:08:06;0.443825;6.50e-17;*;*;*;
1034;J1532-56;15:32:18;-56:32;0.522977;*;*;*;*;
1035;J1534-4428;15:34:52.0;-44:28:09.4;1.221426;1.80e-16;*;*;*;
1036;J1534-46;15:34:08;-46:14;0.364835;*;*;RRAT;*;
1037;J1534-5334;15:34:08.2;-53:34:19.6;1.368882;1.43e-15;*;*;*;
1038;J1534-5405;15:34:33.5;-54:05:39.7;0.289689;1.54e-15;*;*;*;
1039;J1535-4114;15:35:17.0;-41:14:03.1;0.432866;4.07e-15;*;*;*;
1040;J1535-4415;15:35:55.9;-44:15:08.4;0.468402;4.05e-17;*;*;*;
1041;J1535-5450;15:35:58.2;-54:50:26;0.566734;1.43e-14;*;*;*;
1042;J1535-5848;15:35:16.7;-58:48:27.7;0.307178;2.72e-15;*;*;*;
1043;J1536+17;15:36:15;+17:49;0.933300;*;*;*;*;
1044;J1536-30;15:36;-30;1.901000;*;*;*;*;
1045;J1536-3602;15:36:17.3;-36:02:58.8;1.319759;7.90e-16;*;*;*;
1046;J1536-4948;15:36:23.2;-49:48:54.6;0.003080;2.12e-20;DDH;HE[brj+21];*;
1047;J1536-5433;15:36:04.8;-54:33:15;0.881438;1.91e-15;*;*;*;
1048;J1536-5907;15:36:17.7;-59:07:03.6;0.557841;1.37e-15;*;*;*;
1049;J1537+1155;15:37:09.9;+11:55:55.4;0.037904;2.42e-18;DD;*;*;
1050;J1537-4912;15:37:28.2;-49:12:03;0.301311;1.93e-15;*;*;*;
1051;J1537-5153;15:37:15.7;-51:53:06;1.528124;4.17e-15;*;*;*;
1052;J1537-5312;15:37:37.6;-53:12:25.0;0.006927;1.59e-20;ELL1;*;*;
1053;J1537-5645;15:37:51.0;-56:45:04;0.430464;2.78e-15;*;*;*;
1054;J1538+2345;15:38:06.0;+23:45:04.0;3.449385;6.89e-15;*;RRAT;*;
1055;J1538-5438;15:38:48.9;-54:38:17;0.276726;1.42e-15;*;*;*;
1056;J1538-5519;15:38:40.8;-55:19:46;0.395731;4.10e-17;*;*;*;
1057;J1538-5551;15:38:45.0;-55:51:36.9;0.104676;3.21e-15;*;*;*;
1058;J1538-5621;15:38:43.2;-56:21:55.5;1.908494;7.31e-15;*;*;*;
1059;J1538-5638;15:38:05.7;-56:38:12;0.843980;7.12e-15;*;*;*;
1060;J1538-5732;15:38:18.1;-57:32:29.3;0.341213;4.55e-15;*;*;*;
1061;J1538-5750;15:38:08.4;-57:50:17.1;0.506568;4.20e-17;*;*;*;
1062;J1539-4828;15:39:40.8;-48:28:57;1.272842;1.27e-15;*;*;*;
